Month,East_North_Central_(NSA),East_North_Central_(SA),"East South Central
2012-06-01,164.05,159.56,186.48,182.77,195.1,190.85,219.02,214.68,198.26,193.53,179.9,177.05,183.67,179.81,199.33,194.25,199.63,195.83,187.06,182.95
2012-07-01,164.18,159.56,185.84,182.18,194.53,190.4,220.55,216.47,197.69,193.42,179.68,176.35,184.23,180.64,201.23,196,201.03,197.32,187.45,183.34
2012-08-01,164.47,160.45,184.74,181.98,194.43,190.77,220.16,217.18,198.31,194.67,183.38,181.04,185.08,182.15,199.32,195.55,200.03,197.71,187.86,184.62
2012-09-01,163.62,160.77,184.13,181.79,194.62,192.38,221.37,219.3,196.99,194.91,182.48,180.7,185.54,183.37,198.11,195.52,200.61,198.94,187.64,185.32
2012-10-01,162.95,161.5,184.76,183.41,192.01,189.95,221.35,220.52,195.9,194.4,185.25,184.26,185.21,183.91,199.07,197.21,200.58,199.91,187.65,186.24
2012-11-01,161.75,160.58,184.19,183.7,193.17,192.04,223.17,223.46,197.6,196.35,186.38,186.36,184.99,184.23,199.33,198.24,201.23,200.78,187.9,187.1
2012-12-01,159.89,161.13,184.11,184.73,192.47,192.58,222.93,224.93,197.1,197.15,187.49,188.9,184.65,184.84,198.03,198.51,200.06,200.97,187.28,187.98
2013-01-01,159.79,162.68,182.92,184.12,190.95,191.83,224.99,226.74,195.36,196.83,189.36,192.09,185.16,186.65,196.84,199.72,200.97,202.48,187.46,189.34
2013-02-01,160.61,163.29,184.37,185.82,191.88,194.06,226.89,228.34,195.32,197.63,191.25,193.28,186.97,188.37,197.35,199.78,202.43,203.7,188.76,190.59
2013-03-01,163.57,164.79,187.13,187.02,192.72,193.92,231.48,232.93,199.3,200.16,196.7,196.98,190.73,190.17,200.62,201.55,205.63,204.68,192.2,192.48
2013-04-01,166.86,165.81,189.24,187.6,195.05,194.8,236.53,235.56,198.92,198.82,201.17,200.19,192.26,190.56,201.96,200.92,207.25,205.37,194.74,193.46
2013-05-01,169.88,166.44,191.49,187.95,197.81,195.24,240.22,236.88,204.14,200.29,205.89,203.23,196.33,192.93,205.15,202.06,210.22,207.29,198.28,194.99
2013-06-01,172.24,167.31,193.59,189.66,200.25,195.56,243.78,238.76,205.76,200.48,209.32,205.95,198.15,193.78,209.52,204.15,211.86,207.84,200.78,196.2
2013-07-01,173.47,168.45,191.6,187.8,201.24,196.79,245.27,240.93,206.95,202.02,213.01,209.06,199.51,195.39,209.98,204.34,211.07,207.16,201.84,197.3
2013-08-01,172.99,168.72,190.8,188,200,196.07,245.52,242.26,206.54,202.45,213.12,210.49,199.07,196,209.3,205.31,210.33,207.94,201.34,197.87
2013-09-01,172.34,169.36,194.18,191.68,198.63,196.24,246.03,243.85,203.84,201.6,214.41,212.63,198.46,196.23,208.82,206.17,211.12,209.36,201.34,198.9
2013-10-01,170.85,169.46,191.44,190.22,198.71,196.77,248.35,247.63,203.07,201.84,214.53,213.7,198.54,197.09,206.85,205.12,210.47,209.97,200.78,199.42
2013-11-01,170.44,169.48,189.5,189.03,198.34,197.28,245.18,245.69,202.74,201.7,214.01,214.2,198.14,197.52,207.05,206.12,210.69,210.47,200.2,199.55
2013-12-01,169.49,170.91,189.75,190.3,195.94,196.08,244.82,246.9,201.15,201.56,213.67,215.31,198.74,198.96,205.48,206.1,212.9,213.74,199.9,200.68
2014-01-01,168.27,171.41,188.7,189.77,196.09,197.1,247.27,249.19,201.8,203.45,213.95,216.87,197.65,199.2,205.13,207.85,212.31,213.83,199.51,201.47
2014-02-01,168.82,171.59,190.28,191.67,194.41,196.76,250.37,251.73,199.52,201.82,216.73,218.89,199.1,200.26,205.84,208.38,213.72,214.93,200.51,202.33
2014-03-01,171.18,172.08,191.69,191.13,195.87,197.07,249.69,250.63,205.03,205.75,219.86,219.85,201.69,200.81,208.92,209.47,216.71,215.44,202.95,202.91
2014-04-01,174.42,173.09,193.99,192.14,198.11,197.82,253.48,252.08,203.79,203.43,222.48,221.02,203.39,201.37,212.09,210.74,217.37,215.56,205.17,203.62
2014-05-01,176.24,172.68,195.93,192.34,201.21,198.39,256.09,252.42,209.89,205.87,224.74,221.65,205.94,202.24,213.37,210,219.41,216.14,207.57,204.01
2014-06-01,178.55,173.3,197.56,193.49,203.88,199.04,259.48,254.23,211.63,206.05,226.97,223.33,208.29,203.58,216.47,210.93,221.27,217.12,209.93,205.08
2014-07-01,179.6,174.42,197.56,193.81,203.33,198.71,258.23,253.91,212.09,206.71,228.77,224.61,208.76,204.3,217,211.22,223.4,219.39,210.64,205.89
2014-08-01,179.55,175.25,197.04,194.34,203.64,199.52,260.05,256.73,211.51,207.24,229.26,226.53,206.75,203.73,216.03,211.91,222.66,220.15,210.21,206.65
2014-09-01,178.41,175.38,196.51,194.07,200.84,198.39,259.54,257.52,209.34,206.99,228.05,226.43,206.9,204.65,214.88,212.26,223.05,221.18,209.36,206.89
2014-10-01,177.9,176.58,196.19,195.15,201.22,199.41,259.76,259.23,208.05,206.99,228.9,228.27,207.39,205.88,214.93,213.32,222.2,221.8,209.34,208.05
2014-11-01,176.8,176.09,197.54,197.22,200.97,200.05,260.09,260.57,208.23,207.49,229.14,229.5,208.28,207.76,215.27,214.5,223.38,223.33,209.6,209.08
2014-12-01,176.45,177.94,195.65,196.13,201.16,201.37,261.74,263.82,206.24,206.95,229.68,231.44,208.67,208.92,214.13,215.04,224.2,224.99,209.57,210.4
2015-01-01,174.02,177.24,197.78,198.74,199.23,200.21,263.32,265.27,205.6,207.29,230.24,233.17,206.47,207.95,212.24,214.73,224.44,225.97,208.64,210.55
2015-02-01,176.28,178.98,196.2,197.39,198.49,200.81,266.45,267.45,208.06,210.25,232.27,234.19,210.84,211.79,212.52,215.03,226.21,227.35,210.54,212.21
2015-03-01,178.53,179.05,200.89,199.95,201.4,202.43,267.15,267.38,210.01,210.54,235.89,235.52,213.54,212.42,215.92,216.06,228.58,227,213.32,212.93
2015-04-01,181.23,179.59,203.38,201.38,202.11,201.78,270.83,268.93,211.41,210.61,239.23,237.32,214.66,212.29,219.63,217.89,230.39,228.54,215.54,213.69
2015-05-01,184.48,180.78,203.62,200.02,205.84,202.81,274.93,270.9,215.63,211.49,241.95,238.53,218.15,214.2,222.34,218.62,234.12,230.46,218.73,214.91
2015-06-01,187.28,181.81,204.68,200.61,207.79,202.9,277.16,271.81,219.51,213.74,243.48,239.69,220.18,215.33,224.38,218.79,235.11,230.87,220.76,215.76
2015-07-01,186.56,181.38,204.58,200.79,209.07,204.33,280.97,276.63,218.65,213.08,245.78,241.64,220.97,216.31,225.3,219.51,236.27,232.26,221.59,216.76
2015-08-01,185.01,180.75,205.68,202.93,208.84,204.68,279.52,276.1,217.62,213.26,245.32,242.61,219.75,216.67,225.35,221.12,236,233.21,220.89,217.24
2015-09-01,185.57,182.61,204.92,202.63,207.2,204.68,280.21,278.36,215.65,213.25,245.31,243.83,220.46,218.22,224.02,221.5,236.04,234.07,220.76,218.31
2015-10-01,184.83,183.48,204.92,204.04,207.09,205.35,279.08,278.59,214.99,214.03,246.5,246.09,221.36,219.86,223.87,222.32,235.91,235.64,220.8,219.56
2015-11-01,184.96,184.46,205.25,204.85,206.01,205.14,283.38,283.66,214.53,213.95,248.41,248.87,221.35,220.81,223.55,222.86,235.27,235.3,221.11,220.63
2015-12-01,183.51,185.07,206.07,206.57,205.38,205.59,280.69,282.55,215.17,216.11,248.39,250.24,221.34,221.59,224.54,225.68,235.56,236.33,220.78,221.63
2016-01-01,182.54,185.8,207.19,207.96,203.85,204.8,281.98,283.92,215.97,217.61,247.25,250.1,222.26,223.7,224.08,226.41,235.63,237.18,220.63,222.5
2016-02-01,182.59,185,205.45,206.32,205.03,207.19,285.32,286.06,212.63,214.57,251.69,253.32,221.6,222.22,225.82,228.29,236.48,237.43,221.35,222.76
2016-03-01,186.58,186.79,208.87,207.63,206.6,207.44,290.08,289.64,216.15,216.45,255.57,254.8,226.18,224.83,226.91,226.61,242.23,240.46,225.17,224.47
2016-04-01,189.27,187.39,211.15,209.15,208.28,207.81,292.49,290.19,220.37,218.98,258.79,256.43,229.31,226.55,230.25,228.1,242.97,241.02,227.76,225.61
2016-05-01,192.2,188.4,213.59,210.04,212.55,209.41,296.66,292.31,222.72,218.55,260.75,257.01,231.33,227.06,232.54,228.51,246.28,242.25,230.57,226.52
2016-06-01,195.12,189.54,214.26,210.18,215.42,210.62,299.01,293.79,225.29,219.51,262.17,258.3,234.08,229.17,235.16,229.5,247.79,243.42,232.88,227.81
2016-07-01,195.45,190.3,215.83,211.8,215.57,210.8,299.13,294.75,225.73,220.13,264.14,260.06,235,230.28,237.23,231.41,249.21,245.25,233.86,228.98
2016-08-01,196.08,191.85,215.83,212.93,215.37,211.26,300.42,297,225.62,221.15,263.94,261.31,234.72,231.43,235.83,231.56,248.63,245.63,233.78,230.05
2016-09-01,195.34,192.37,216,213.79,214.71,212.12,300.68,298.86,226.19,223.65,265.67,264.19,235.16,232.8,236.02,233.52,248.14,246.08,233.87,231.37
2016-10-01,194.81,193.4,214.86,214,214.89,213.22,303.14,302.63,224.74,223.69,265.39,265.13,236.2,234.63,235.45,233.87,247.53,247.21,233.83,232.57
2016-11-01,194.34,193.94,215.55,215.06,214.9,214.05,302.83,302.86,226.23,225.62,267.06,267.59,235.52,234.83,236.37,235.78,248.49,248.43,234.1,233.59
2016-12-01,193.85,195.48,218.05,218.46,214.06,214.28,303.79,305.43,224.77,225.64,267.29,269.25,236.51,236.7,234.42,235.83,249.5,250.28,234.28,235.12
2017-01-01,192.16,195.42,213.83,214.35,213.35,214.2,304.15,306.26,225.42,226.8,267.81,270.52,235.37,236.56,234.06,236.35,249.82,251.4,233.45,235.2
2017-02-01,194.64,196.73,217.62,218.15,213.68,215.62,308.41,309.01,224.41,226.15,270.59,271.82,237.27,237.55,235.13,237.42,251.27,252.08,235.44,236.55
2017-03-01,198.52,198.42,220.93,219.5,214.84,215.34,312.81,311.72,229.15,229.16,275.54,274.32,240.65,239.11,239.55,238.83,254.07,252.14,239.02,237.99
2017-04-01,200.71,198.58,222.02,220.04,218.42,217.72,315.92,313.23,232.34,230.42,279.31,276.49,245.19,242.04,242.48,240.03,258.05,255.92,242.32,239.86
2017-05-01,203.46,199.52,224.78,221.27,221.15,217.87,320.71,316.09,234.23,230.04,282.95,278.9,246.57,242.05,246.61,242.26,261.48,257.25,245.2,240.94
2017-06-01,205.2,199.54,226.97,222.96,223.65,219.02,322.53,317.41,237.68,232.05,284.49,280.6,248.37,243.58,248,242.32,261.83,257.28,246.95,241.88
2017-07-01,206.24,201.11,228.64,224.31,225.14,220.46,324.13,319.5,238.87,233.33,285.38,281.46,249.36,244.74,248.93,243.12,262.53,258.6,248.06,243.19
2017-08-01,206.48,202.27,227.65,224.54,225.88,221.88,325.03,321.64,238.66,234.01,287.4,284.81,250.49,246.93,248.77,244.49,262.77,259.5,248.64,244.81
2017-09-01,205.83,202.77,226.66,224.53,225.87,223.11,325.74,323.73,237.85,235.16,288.78,287.27,249.84,247.31,247.3,244.76,263.7,261.49,248.48,245.85
2017-10-01,205.6,203.99,228.23,227.25,224.97,223.35,327.35,326.73,237.43,236.31,287.28,287.01,250.13,248.54,247.58,245.79,262.61,262.1,248.3,246.92
2017-11-01,205.26,204.96,227.4,226.76,224.25,223.27,331.29,331.13,237.45,236.72,289.78,290.38,250.93,250.08,248.84,248.3,264.69,264.51,249.13,248.54
2017-12-01,204.98,206.74,227.83,228.15,224.42,224.56,330.12,331.66,236.77,237.59,289.39,291.54,251.22,251.44,246.06,247.67,263.7,264.53,248.7,249.58
2018-01-01,205.31,208.59,228.92,229.3,225.44,226.21,332.97,335.38,237.19,238.37,291.17,293.81,252.37,253.35,249.04,251.47,262.6,264.19,249.69,251.38
2018-02-01,207.88,209.65,230.32,230.56,225.27,226.95,337.22,337.82,239.73,241.46,296.22,297.09,255.14,255,249.08,251.21,268.05,268.66,252.46,253.28
2018-03-01,210.28,209.96,233.59,232.08,229.47,229.7,342.16,340.54,240.39,239.99,298.68,297.07,258.12,256.25,254.34,253.17,269.76,267.77,255.48,254.16
2018-04-01,213.31,210.95,233.36,231.38,229.77,228.61,344.81,341.49,243.08,240.72,301.26,297.94,261.53,258.06,255.99,253.29,271.31,269.01,257.68,254.89
2018-05-01,215.64,211.52,238.91,235.44,232.88,229.36,349.19,344.11,247.4,243.13,303.05,298.65,264.27,259.41,259.43,254.71,273.54,269.29,260.66,256.15
2018-06-01,218.4,212.6,240.22,236.18,235.02,230.54,353.62,348.4,249.73,244.27,304.65,300.72,263.75,259.04,261.9,255.99,275.02,270.17,262.38,257.24
2018-07-01,218.54,213.37,240,235.43,236.49,231.83,353.21,348.02,249.72,244.16,305.19,301.45,266.08,261.45,263.95,258.03,274.96,271.03,263.22,258.29
2018-08-01,218.62,214.45,240.62,237.37,235.34,231.56,354.23,350.72,250.41,245.61,306.83,304.25,266.83,262.85,261.94,257.58,276.18,272.81,263.57,259.63
2018-09-01,218.43,215.19,239.27,237.13,235.13,232.31,355.25,352.95,248.97,246.07,305.47,304.01,266.02,263.27,260.85,258.09,274.71,272.26,262.82,260.02
2018-10-01,218.46,216.71,240.57,239.28,233.87,232.2,355.13,354.43,249.71,248.51,304.65,304.41,264.57,262.86,261.61,259.64,274.71,274.02,262.48,260.98
2018-11-01,216.78,216.6,242.18,241.41,235.9,234.8,357.22,357.12,248.59,247.84,304.69,305.47,266.62,265.66,261.24,260.86,276.67,276.5,263.19,262.61
2018-12-01,215.76,217.69,240.81,241.06,235.09,235.24,355.45,357.19,248.39,249.17,303.87,306.36,266.82,267.11,259.99,261.79,275,275.93,262.33,263.31
2019-01-01,215.37,218.59,241.84,242.22,235.96,236.69,359.11,362.07,248.5,249.52,304.79,307.37,267.2,268.02,260.94,263.63,276.53,278.14,263.09,264.75
2019-02-01,218.69,220.18,244.02,244.04,235.2,236.62,359.89,360.58,250.62,252.42,306.9,307.36,268.81,268.38,262.64,264.57,277.48,278.02,264.78,265.38
2019-03-01,221.06,220.55,245.77,244.17,237.07,236.99,363.68,361.67,252.17,251.27,311.15,309.14,271.72,269.56,267.32,265.73,281.47,279.61,267.82,266.24
2019-04-01,224.34,221.69,248.89,246.88,239.37,237.71,371.33,367.19,255.64,252.87,314.53,310.7,274.85,271.17,269,265.98,282.22,279.64,270.82,267.67
2019-05-01,227.26,222.94,250.52,247.01,242.97,239.06,373.42,367.82,258.37,253.84,317.21,312.49,278.25,273.13,271.34,266.21,285.46,281.27,273.75,268.98
2019-06-01,229.49,223.51,253.38,249.24,244.16,239.77,375.09,369.62,259.93,254.56,317.52,313.52,278.21,273.49,273.78,267.6,287.29,282.01,275.15,269.87
2019-07-01,229.85,224.57,254.48,249.57,245.11,240.52,378.56,372.87,261.01,255.4,318.92,315.45,279.05,274.39,274.62,268.55,286.62,282.56,275.98,270.96
2019-08-01,229.76,225.64,252.65,249.19,245.54,242.04,377.35,373.83,262.33,257.41,319,316.49,279.28,275.06,274.58,270.12,287.09,283.67,275.98,271.98
2019-09-01,229.87,226.43,254.97,252.8,245.23,242.4,379.7,377.22,260.3,257.22,318.96,317.59,281.2,278.38,274.64,271.64,286.99,284.25,276.54,273.62
2019-10-01,229.13,227.29,254.81,253.21,245.84,244.12,380.3,379.64,259.94,258.61,319.74,319.46,281.6,279.78,274.93,272.78,287.25,286.29,276.7,275.05
2019-11-01,230.06,229.96,253.55,252.61,246.91,245.64,381.22,381.51,261.64,260.97,320.49,321.57,282.08,281.02,274.35,274.22,287.22,287.16,277.18,276.64
2019-12-01,228.35,230.45,256.92,257.23,247.19,247.36,384.65,387.07,261.79,262.65,320.62,323.44,282.49,282.92,275.32,277.31,289.34,290.4,277.76,278.92
2020-01-01,228.64,231.86,257.94,258.52,247.57,248.35,386.52,390.25,263.45,264.53,323.18,325.86,285.07,285.9,274.2,277.33,289.82,291.43,278.91,280.67
2020-02-01,232.27,233.61,260.15,260.03,249.28,250.5,392.15,393.04,264.32,266.4,327.25,327.41,288.86,288.22,277.91,279.67,291.63,292.08,282.09,282.53
2020-03-01,235.62,234.96,262.57,260.84,250.95,250.7,396.98,394.56,267.75,266.28,331.23,328.67,289.96,287.42,281.04,279.15,294.62,292.89,284.87,283.01
2020-04-01,237.75,234.82,264.65,262.52,252.95,250.78,399.37,394.22,270.13,266.94,333.89,329.45,291.86,288.02,284.52,281.05,296.42,293.52,287.11,283.57
2020-05-01,239.16,234.55,266.11,262.44,254.85,250.44,399.16,392.83,269.45,264.54,331.88,326.73,293.53,288.04,285.34,279.61,297.83,293.55,288,282.85
2020-06-01,242.6,236.27,268.92,264.53,255.96,251.54,404.5,398.48,273.71,268.13,336.38,332.07,296.3,291.33,289.46,282.83,302.69,296.78,291.53,285.9
2020-07-01,245.93,240.37,273.49,268.12,260.26,255.47,411.22,404.72,279.53,273.63,340.38,336.96,299.66,294.75,292.57,286.12,302.93,298.48,295.09,289.76
2020-08-01,248.25,244.08,275.59,271.8,264.94,261.57,415.78,412.04,283.9,278.78,345,342.43,304.27,299.76,296.37,291.63,307.11,303.59,298.98,294.82
2020-09-01,251.56,247.74,279.15,276.8,268.99,266.14,423.58,420.86,287.97,284.61,350.29,349.07,306.92,303.95,299.57,296.21,309.91,306.77,302.74,299.58
2020-10-01,253.39,251.49,281.4,279.36,271.79,269.88,428.17,427.55,292.74,291.29,354.82,354.56,311.31,309.24,301.97,299.62,312.67,311.34,306.01,304.15
2020-11-01,254.25,254.19,283.47,282.33,274.57,273.15,433.89,434.74,295.22,294.87,359.14,360.71,314.13,312.97,301.76,302.09,313.11,313.3,308.19,307.75
2020-12-01,255.33,257.76,286.41,286.71,276.08,276.4,438.52,441.93,297.13,298.21,361.26,364.69,316.37,317.05,302.93,305.14,316.18,317.47,310.32,311.75
2021-01-01,256.68,260.13,288.05,288.81,279.24,280.26,443.78,448.63,300.15,301.51,365.46,368.51,320.02,321,305.07,308.9,319.35,321.11,313.28,315.32
2021-02-01,260.25,261.69,292.34,292.01,279.7,280.83,453.7,454.74,300.97,303.64,374.66,374.61,324.18,323.38,309.52,311.2,324.82,325.32,317.9,318.28
2021-03-01,265.51,264.65,297.62,295.51,285.59,285.11,466.3,462.95,311.47,309.15,383.56,380.1,333.29,330.14,316,313.79,330.72,329.01,325.29,322.97
2021-04-01,271.89,268.42,303.91,301.4,293.67,290.83,481.15,474.13,319.31,315.16,393.17,387.51,338.81,334.3,321.92,317.69,338.13,334.51,332.76,328.4
2021-05-01,277.68,272.25,310.84,306.42,299.33,293.79,492.73,484.45,327.93,321.66,403.24,396.8,346.53,340,330.94,323.97,343.58,338.62,340.21,333.97
2021-06-01,283.85,276.38,317.29,312.04,302.1,296.93,506.04,498.16,332.8,325.97,408.87,403.5,353.98,347.96,335.63,327.87,352.09,344.79,346.78,339.96
2021-07-01,285.8,279.4,323.75,317.25,306.66,301.09,515.26,506.86,337.88,330.81,414.12,410.18,360.78,354.85,338.62,331.16,357.03,351.59,351.73,345.38
2021-08-01,285.95,281.4,326.65,322.05,305.7,302.14,521.23,516.68,336.25,330.37,418.08,415.17,366.84,361.54,339.14,333.84,359.15,355.11,354.08,349.33
2021-09-01,287.84,283.4,328.57,325.73,307.71,304.61,524.82,521.53,340.41,336.41,419.49,418.22,368.72,365.28,340.96,337.02,365.68,361.88,356.73,353.03
2021-10-01,289.14,287.08,333.74,331.09,311.29,309.09,529.52,528.85,339.42,337.58,424.82,424.55,373.15,370.58,342.62,340.02,366.97,365.05,359.79,357.55
2021-11-01,290.26,290.22,338.61,337.21,312.41,310.77,534.44,535.99,341.54,341.4,427.39,429.54,379.2,377.82,341.93,342.81,370.65,371.11,362.75,362.37
2021-12-01,291.66,294.47,340.22,340.48,313.43,313.94,541.56,546.56,346.84,348.13,432.14,436.33,383.1,384.09,345.86,348.43,374.25,375.9,365.99,367.78
2022-01-01,294.33,298.17,345.03,346.21,318.01,319.31,547.63,554.17,348.36,349.96,439.79,443.48,389.07,390.37,347.42,352.13,379.42,381.58,370.64,373.14
2022-02-01,300.08,301.76,351.83,351.29,323.39,324.52,564.29,565.65,354.27,357.65,449.4,449.16,400.89,399.91,356.3,358.05,385.26,385.86,378.96,379.35
2022-03-01,306.59,305.47,359.09,356.46,328.78,328.2,581.79,577.11,364.92,361.58,458.54,453.89,409.95,405.85,361.82,359.27,391.6,389.77,386.95,384
2022-04-01,313.19,309.12,362.88,359.78,335.01,331.48,594.46,585.21,375.47,370.22,466.19,459.17,419.66,414.03,371.74,366.54,403.12,398.57,395.5,390.1
2022-05-01,319.63,313.32,370.55,365.21,341.61,335,601.82,591.31,381.47,374.01,467.2,459.59,428.13,420.09,378.17,369.85,411.47,405.46,402.16,394.63
2022-06-01,320.42,311.95,375.17,368.96,344.8,338.85,596.7,587.21,379.93,372.02,463.76,457.5,431.43,423.98,377.28,368.39,413.66,404.8,403.13,395.07
2022-07-01,319.18,312.04,376.47,368.77,343.17,336.92,592.34,582.46,377.4,369.34,455.48,451.17,428.53,421.44,377.18,368.84,410.34,403.85,400.47,393.16
2022-08-01,316.49,311.56,372.69,367.35,338.53,334.76,577.08,571.92,376.35,369.81,450.38,447.33,426.2,420.04,374.34,368.54,407.49,402.94,396.59,391.3
2022-09-01,317.73,312.78,376.76,373.48,339.33,336,574.2,570.58,372.03,367.49,449.54,448.28,425.86,421.95,374.17,369.76,406.81,402.39,396.61,392.46
2022-10-01,314.5,312.33,373.83,370.81,338.42,336,573.62,572.88,374.59,372.35,446.03,445.75,425.95,422.89,372.27,369.55,406.72,404.44,395.16,392.65
2022-11-01,313.47,313.46,370.52,369.12,340.74,339.07,565.69,567.39,369.28,369.15,438.16,440.45,425.5,423.9,370.11,371.38,405.73,406.33,392.96,392.61
2022-12-01,311.68,314.65,373.04,373.41,336.47,337.18,559.51,564.87,366.17,367.49,435.37,439.61,423.18,424.27,367.75,370.55,403.19,405.11,390.51,392.47
2023-01-01,310.91,314.91,371.49,373.11,336.32,337.77,557.91,564.71,372.97,374.67,434.36,437.93,425.38,426.78,366.63,371.74,398.71,401.13,390.09,392.76
2023-02-01,315.25,317.06,378.93,378.54,339.48,340.64,570.36,571.65,375.05,378.71,437.7,437.31,427.83,426.74,374.45,376.14,406.28,407.01,395.13,395.52
2023-03-01,323.03,321.81,381.98,379.27,344.37,343.72,569.12,564.03,385.77,381.91,444.54,439.75,435.25,430.65,380.96,378.16,410.03,408.32,401.15,397.98
